,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
285,0.0,0.0515,-0.02075,0.042,0.17,-0.15
286,0.0,-0.0065,-0.00625,0.05225,0.2,0.06
287,0.0,0.0515,-0.02075,0.042,0.17,-0.15
288,0.0,0.01275,-0.011,0.07125,0.2,0.06
289,0.0,0.0515,-0.02075,0.042,0.17,-0.15
290,0.0,0.01875,-0.021,0.05975,0.2,0.06
291,0.0,0.0515,-0.02075,0.042,0.17,-0.15
292,0.0,0.01825,-0.0195,0.06375,0.2,0.06
293,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
294,0.0,0.00975,-0.016,0.06775,0.2,0.07
295,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
296,0.0,0.00025,-0.013,0.05675,0.2,0.08
297,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
298,0.0,0.01475,-0.007,0.05375,0.2,0.09
299,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
300,0.0,0.01475,-0.007,0.05375,0.2,0.09
301,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
302,0.0,-0.011,0.01575,0.03725,0.2,0.1
303,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
304,0.0,-0.011,0.01575,0.03725,0.2,0.1
305,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
306,0.0,-0.03625,0.00175,0.056,0.2,0.11
307,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
308,0.0,-0.015,0.01725,0.07525,0.19,0.12
309,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
310,0.0,0.00575,-0.00375,0.04525,0.19,0.12
311,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
312,0.0,0.01,0.004,0.03625,0.19,0.13
313,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
314,0.0,0.01,0.004,0.03625,0.19,0.13
315,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
316,0.0,0.015,0.0215,0.03075,0.19,0.13
317,0.0,-0.06525,-0.02775,0.05775,0.13,-0.18
318,0.0,0.00425,0.0085,0.07775,0.19,0.14
319,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
320,0.0,0.00425,0.0085,0.07775,0.19,0.14
321,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
322,0.0,-0.00525,0.00375,0.04225,0.19,0.14
323,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
324,0.0,0.015,0.0205,0.05575,0.19,0.13
325,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
326,0.0,0.015,0.0205,0.05575,0.19,0.13
327,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
328,0.0,0.01,0.0185,0.02475,0.19,0.13
329,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
330,0.0,0.00875,-0.0075,0.07325,0.19,0.13
331,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
332,0.0,-0.02475,-0.00775,0.0485,0.19,0.13
333,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
334,0.0,0.0,-0.0195,0.0645,0.19,0.12
335,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
336,0.0,-0.008,0.00475,0.00275,0.18,0.11
337,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
338,0.0,-0.008,0.00475,0.00275,0.18,0.11
339,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
340,0.0,0.0145,-0.0065,0.02475,0.18,0.1
341,0.0,-0.0175,-0.02675,0.04875,0.15,-0.1
342,0.0,-0.0095,-0.01025,-0.0085,0.18,0.09
343,0.0,0.027,-0.0135,0.07525,0.11,-0.1
344,0.0,0.0155,-0.0145,0.00825,0.17,0.09
345,0.0,0.027,-0.0135,0.07525,0.11,-0.1
346,0.0,0.02425,-0.018,0.02225,0.17,0.08
347,0.0,0.027,-0.0135,0.07525,0.11,-0.1
348,0.0,0.02225,-0.0045,0.10175,0.18,0.08
349,0.0,0.027,-0.0135,0.07525,0.11,-0.1
350,0.0,0.02225,-0.0045,0.10175,0.18,0.08
351,0.0,0.027,-0.0135,0.07525,0.11,-0.1
352,0.0,0.018,-0.029,0.08375,0.18,0.08
353,0.0,0.027,-0.0135,0.07525,0.11,-0.1
354,0.0,-0.0055,-0.0115,0.08125,0.18,0.07
355,0.0,0.027,-0.0135,0.07525,0.11,-0.1
356,0.0,0.01375,-0.0105,0.03825,0.18,0.07
357,0.0,0.027,-0.0135,0.07525,0.11,-0.1
358,0.0,0.01375,-0.0105,0.03825,0.18,0.07
359,0.0,0.027,-0.0135,0.07525,0.11,-0.1
360,0.0,-0.01125,-0.00875,0.063,0.17,0.08
361,0.0,0.027,-0.0135,0.07525,0.11,-0.1
362,0.0,-0.01125,-0.00875,0.063,0.17,0.08
363,0.0,0.027,-0.0135,0.07525,0.11,-0.1
364,0.0,-0.0125,0.0,0.042,0.17,0.08
365,0.0,0.027,-0.0135,0.07525,0.11,-0.1
366,0.0,0.0185,0.001,0.03275,0.17,0.08
367,0.0,0.027,-0.0135,0.07525,0.11,-0.1
368,0.0,0.0185,0.001,0.03275,0.17,0.08
369,0.0,0.027,-0.0135,0.07525,0.11,-0.1
370,0.0,0.0275,-0.00175,0.04325,0.17,0.08
371,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
372,0.0,0.03275,0.00225,0.06825,0.17,0.09
373,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
374,0.0,-0.0115,0.01225,0.02925,0.17,0.11
375,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
376,0.0,0.0145,0.0145,0.02525,0.17,0.11
377,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
378,0.0,0.0145,0.0145,0.02525,0.17,0.11
379,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
380,0.0,0.01275,-0.00175,0.05025,0.17,0.11
381,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
382,0.0,0.01275,-0.00175,0.05025,0.17,0.11
383,0.0,-0.0105,-0.00175,0.06025,0.12,-0.11
384,0.0,0.00925,-0.00225,0.06025,0.18,0.1
385,0.0,-0.03225,0.01325,0.0185,0.13,-0.1
386,0.0,0.0095,-0.00325,0.02975,0.18,0.1
387,0.0,-0.03225,0.01325,0.0185,0.13,-0.1
388,0.0,0.0075,-0.007,0.02825,0.17,0.11
389,0.0,-0.03225,0.01325,0.0185,0.13,-0.1
390,0.0,0.03675,0.00125,0.07675,0.17,0.1
391,0.0,-0.03225,0.01325,0.0185,0.13,-0.1
392,0.0,0.01025,-0.0045,0.07775,0.17,0.1
393,0.0,-0.03225,0.01325,0.0185,0.13,-0.1
394,0.0,-0.01475,-0.01125,0.08,0.17,0.09
395,0.0,-0.03225,0.01325,0.0185,0.13,-0.1
396,0.0,0.0115,0.0215,0.07575,0.17,0.09
397,0.0,-0.04225,0.01875,0.0125,0.13,-0.09
398,0.0,0.0055,-0.00075,0.04425,0.17,0.1
399,0.0,-0.04225,0.01875,0.0125,0.13,-0.09
400,0.0,-0.00225,0.014,0.05575,0.17,0.09
401,0.0,-0.04225,0.01875,0.0125,0.13,-0.09
402,0.0,0.01275,-0.005,0.05375,0.18,0.09
403,0.0,-0.04225,0.01875,0.0125,0.13,-0.09
404,0.0,0.01275,-0.005,0.05375,0.18,0.09
405,0.0,-0.04225,0.01875,0.0125,0.13,-0.09
406,0.0,-0.00675,-0.0325,0.078,0.19,0.08
407,0.0,-0.04225,0.01875,0.0125,0.13,-0.09
408,0.0,-0.0075,0.00925,0.02525,0.17,0.09
409,0.0,0.00775,0.006,0.03325,0.14,-0.1
410,0.0,-0.0035,-0.009,0.06125,0.17,0.09
411,0.0,0.00775,0.006,0.03325,0.14,-0.1
412,0.0,-0.01625,-0.01275,0.0875,0.17,0.08
413,0.0,0.00775,0.006,0.03325,0.14,-0.1
414,0.0,0.01375,-0.023,0.03725,0.17,0.08
415,0.0,0.00775,0.006,0.03325,0.14,-0.1
416,0.0,-0.00675,-0.02225,0.017,0.17,0.09
417,0.0,0.00775,0.006,0.03325,0.14,-0.1
418,0.0,0.035,0.016,0.01175,0.15,0.11
419,0.0,0.02175,-0.0015,0.03425,0.12,-0.1
420,0.0,0.00475,0.004,0.09375,0.15,0.11
421,0.0,0.02175,-0.0015,0.03425,0.12,-0.1
422,0.0,0.00875,0.012,0.09125,0.15,0.12
423,0.0,0.02175,-0.0015,0.03425,0.12,-0.1
424,0.0,0.0195,0.004,0.03975,0.15,0.12
425,0.0,0.02175,-0.0015,0.03425,0.12,-0.1
426,0.0,0.0205,0.015,0.02525,0.16,0.13
427,0.0,0.01475,0.009,0.02575,0.11,-0.09
428,0.0,0.03375,-0.025,0.04125,0.17,0.13
429,0.0,0.01475,0.009,0.02575,0.11,-0.09
430,0.0,0.0305,0.00675,0.03875,0.15,0.18
431,0.0,0.01475,0.009,0.02575,0.11,-0.09
432,0.0,-0.001,-0.00075,0.06175,0.15,0.18
433,0.0,0.01475,0.009,0.02575,0.11,-0.09
434,0.0,-0.001,-0.00075,0.06175,0.15,0.18
435,0.0,0.01475,0.009,0.02575,0.11,-0.09
436,0.0,0.01175,-0.00275,0.05125,0.15,0.18
437,0.0,0.00775,0.01,0.01725,0.08,-0.1
438,0.0,0.01675,-0.0185,0.05475,0.16,0.18
439,0.0,0.00775,0.01,0.01725,0.08,-0.1
440,0.0,0.0005,-0.0035,-0.01325,0.16,0.18
441,0.0,0.00775,0.01,0.01725,0.08,-0.1
442,0.0,0.028,0.012,0.02075,0.16,0.18
443,0.0,0.00775,0.01,0.01725,0.08,-0.1
444,0.0,0.0225,0.01,0.05125,0.16,0.18
445,0.0,0.00775,0.01,0.01725,0.08,-0.1
446,0.0,0.0155,0.0105,0.07075,0.17,0.18
447,0.0,0.00775,0.01,0.01725,0.08,-0.1
448,0.0,-0.0045,0.0055,0.07925,0.17,0.17
449,0.0,0.049,-0.032,0.07175,0.08,-0.12
450,0.0,-0.0165,0.00275,0.04975,0.17,0.17
451,0.0,0.049,-0.032,0.07175,0.08,-0.12
452,0.0,-0.02,0.00425,0.03775,0.17,0.17
453,0.0,0.049,-0.032,0.07175,0.08,-0.12
454,0.0,0.00725,-0.0085,0.03325,0.17,0.17
455,0.0,0.049,-0.032,0.07175,0.08,-0.12
456,0.0,0.02925,-0.02925,0.04325,0.17,0.18
457,0.0,0.049,-0.032,0.07175,0.08,-0.12
458,0.0,0.02925,-0.02925,0.04325,0.17,0.18
459,0.0,0.049,-0.032,0.07175,0.08,-0.12
460,0.0,0.00675,-0.01975,0.01675,0.17,0.18
461,0.0,0.049,-0.032,0.07175,0.08,-0.12
462,0.0,0.0065,0.017,0.07125,0.17,0.19
463,0.0,-0.01525,0.00575,0.0345,0.13,-0.08
464,0.0,-0.01975,0.0015,0.09625,0.18,0.2
