,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
224,0.0,-0.00175,-0.022,0.05625,-0.03,0.02
225,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
226,0.0,-0.00625,-0.022,0.05025,-0.03,0.01
227,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
228,0.0,0.00875,-0.03725,0.042,-0.03,0.01
229,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
230,0.0,0.00875,-0.03725,0.042,-0.03,0.01
231,0.0,-0.0065,0.00675,0.0375,-0.05,0.5
232,0.0,-0.004,-0.0305,0.02675,-0.02,-0.0
233,0.0,-0.011,0.009,0.0625,-0.05,0.5
234,0.0,0.0055,-0.038,0.0675,-0.02,-0.0
235,0.0,-0.011,0.009,0.0625,-0.05,0.5
236,0.0,0.0235,-0.03025,0.0575,-0.03,-0.01
237,0.0,-0.011,0.009,0.0625,-0.05,0.5
238,0.0,0.007,-0.02125,0.03575,-0.03,-0.01
239,0.0,-0.011,0.009,0.0625,-0.05,0.5
240,0.0,0.007,-0.02125,0.03575,-0.03,-0.01
241,0.0,-0.011,0.009,0.0625,-0.05,0.5
242,0.0,-0.0125,-0.023,0.04775,-0.03,-0.01
243,0.0,-0.011,0.009,0.0625,-0.05,0.5
244,0.0,-0.0125,-0.023,0.04775,-0.03,-0.01
245,0.0,-0.011,0.009,0.0625,-0.05,0.5
246,0.0,0.015,-0.02075,-0.00325,-0.03,-0.02
247,0.0,-0.011,0.009,0.0625,-0.05,0.5
248,0.0,-0.0195,-0.031,0.03425,-0.03,-0.02
249,0.0,-0.0205,0.007,0.046,-0.04,0.5
250,0.0,0.0065,-0.00625,0.03675,-0.04,-0.02
251,0.0,-0.0205,0.007,0.046,-0.04,0.5
252,0.0,-0.0005,-0.039,0.04775,-0.04,-0.02
253,0.0,-0.0205,0.007,0.046,-0.04,0.5
254,0.0,-0.0165,-0.0085,0.02925,-0.04,-0.03
255,0.0,-0.0205,0.007,0.046,-0.04,0.5
256,0.0,0.0245,-0.00625,0.064,-0.03,-0.03
257,0.0,-0.0205,0.007,0.046,-0.04,0.5
258,0.0,0.0145,-0.01525,0.05925,-0.03,-0.03
259,0.0,-0.0205,0.007,0.046,-0.04,0.5
260,0.0,0.0145,-0.01525,0.05925,-0.03,-0.03
261,0.0,-0.0205,0.007,0.046,-0.04,0.5
262,0.0,-0.02325,0.00075,0.04175,-0.03,-0.03
263,0.0,-0.0205,0.007,0.046,-0.04,0.5
264,0.0,0.004,-0.00325,0.01675,-0.03,-0.03
265,0.0,-0.008,0.004,0.0085,-0.04,0.49
266,0.0,0.032,-0.02625,0.04025,-0.02,-0.03
267,0.0,-0.008,0.004,0.0085,-0.04,0.49
268,0.0,-0.002,-0.03,0.05975,-0.01,-0.04
269,0.0,-0.008,0.004,0.0085,-0.04,0.49
270,0.0,0.015,-0.02325,0.03875,-0.01,-0.04
271,0.0,-0.008,0.004,0.0085,-0.04,0.49
272,0.0,0.0015,-0.03325,0.02425,-0.01,-0.04
273,0.0,-0.008,0.004,0.0085,-0.04,0.49
274,0.0,-0.011,-0.0295,0.0485,-0.01,-0.05
275,0.0,-0.008,0.004,0.0085,-0.04,0.49
276,0.0,0.009,0.0015,0.03925,-0.01,-0.05
277,0.0,-0.0085,0.014,0.0545,-0.04,0.49
278,0.0,0.028,-0.01225,0.0305,-0.01,-0.05
279,0.0,-0.0085,0.014,0.0545,-0.04,0.49
280,0.0,-0.008,-0.02375,0.034,-0.01,-0.05
281,0.0,-0.0085,0.014,0.0545,-0.04,0.49
282,0.0,0.013,-0.00025,0.05025,-0.02,-0.05
283,0.0,-0.0085,0.014,0.0545,-0.04,0.49
284,0.0,-0.0105,-0.0385,0.047,-0.02,-0.05
285,0.0,-0.0085,0.014,0.0545,-0.04,0.49
